cohort,module,stratum,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
HRS,wealth_by_sex,female_minus_male,gap_dfle,-0.0115651545234199,500,-0.0166871709676902,0.435621345796819,-0.881725042600206,-0.0262896750663497,0.821522046814842
HRS,wealth_by_sex,female_minus_male,high_dfle,1.2835438716225,500,1.30586571660253,0.314372489377749,0.699423028006562,1.30747592525136,1.89892499990803
HRS,wealth_by_sex,female_minus_male,low_dfle,1.2719787170991,500,1.28917854563484,0.296292701206738,0.724916716371183,1.2968137577732,1.90093316859164
HRS,wealth_by_sex,female_minus_male,recovery_relapse_contribution,-0.48128577179173,500,-0.472152962460755,0.210822033950023,-0.884690117775491,-0.471638272358951,-0.0526253174628526
HRS,wealth_by_sex,female_minus_male,recovery_relapse_percent,8.3133930041472,500,8.14427120006187,3.36943399127672,1.42651756671232,8.24015256275957,15.0057422618966
HRS,wealth_by_sex,male,contribution_onset,-2.44975651410242,500,-2.48108084645709,0.216613502877696,-2.91386319206261,-2.4864971721439,-2.067225903168
HRS,wealth_by_sex,male,contribution_post_disability_mortality,-0.275035134411604,500,-0.284809452973225,0.0737166057502807,-0.435526175227973,-0.287088101969993,-0.129405229436613
HRS,wealth_by_sex,male,contribution_pre_disability_mortality,-2.04613907174594,500,-1.99033225644007,0.232309977043038,-2.45657525149941,-1.98987756631534,-1.52145666404681
HRS,wealth_by_sex,male,contribution_recovery,-0.740698506695629,500,-0.748421453084766,0.128599013135085,-1.00518612690615,-0.752039773405724,-0.500059720066141
HRS,wealth_by_sex,male,contribution_relapse,-0.242320987858911,500,-0.245317954665862,0.0886862868034772,-0.416601887003639,-0.246115239334976,-0.049122081486303
